Account;Account name;Campaign#Original;Campaign;Labels;Campaign Type;Networks;Budget;Budget type;EU political ads;Standard conversion goals;Customer acquisition;Languages;Bid Strategy Type;Bid Strategy Name;Enhanced CPC;Desktop Bid Modifier;Mobile Bid Modifier;Tablet Bid Modifier;TV Screen Bid Modifier;Start Date;End Date;Broad match keywords;Ad Schedule;Ad rotation;Content exclusions;Targeting method;Exclusion method;Audience targeting;Flexible Reach;AI Max;Text customization;Final URL expansion;Ad Group#Original;Ad Group;Max CPC;Max CPM;Target CPA;Max CPV;Target CPV;Percent CPC;Target CPM;Target ROAS;Target CPC;Display Network Custom Bid Type;Optimized targeting;Strict age and gender targeting;Search term matching;Ad Group Type;Channels;Audience name;Age demographic;Gender demographic;Income demographic;Parental status demographic;Remarketing audience segments;Interest categories;Life events;Custom audience segments;Detailed demographics;Remarketing audience exclusions;Tracking template;Final URL suffix;Custom parameters;ID#Original;ID;Location#Original;Location;Location type;Reach;Location groups#Original;Location groups;Radius#Original;Radius;Unit#Original;Unit;Bid Modifier;Criterion Type;Keyword#Original;Keyword;Criterion Type#Original;First page bid;Top of page bid;First position bid;Quality score;Landing page experience;Expected CTR;Ad relevance;Final URL;Final mobile URL;Ad type;Headline 1#Original;Headline 1;Headline 1 position;Headline 2#Original;Headline 2;Headline 2 position;Headline 3#Original;Headline 3;Headline 3 position;Headline 4;Headline 4 position;Headline 5;Headline 5 position;Headline 6;Headline 6 position;Headline 7;Headline 7 position;Headline 8;Headline 8 position;Headline 9;Headline 9 position;Headline 10;Headline 10 position;Headline 11;Headline 11 position;Headline 12;Headline 12 position;Headline 13;Headline 13 position;Headline 14;Headline 14 position;Headline 15;Headline 15 position;Description 1#Original;Description 1;Description 1 position;Description 2#Original;Description 2;Description 2 position;Description 3;Description 3 position;Description 4;Description 4 position;Path 1;Path 2;IP address#Original;IP address;Shared set name#Original;Shared set name;Shared set type;Keyword count;Link Text#Original;Link Text;Description Line 1#Original;Description Line 1;Description Line 2#Original;Description Line 2;Upgraded extension;Source;Link source;Final URL#Original;Header#Original;Header;Snippet Values#Original;Snippet Values;Callout text#Original;Callout text;Phone Number#Original;Phone Number;Country of Phone#Original;Country of Phone;Conversion Action;Campaign Status;Ad Group Status;Status;Approval Status;Ad strength;Comment
801-957-6699;Voorbeeldaccount Stan;BE Dak Eigen Merk Lokaal [Plaats];BE Dak Eigen Merk Lokaal [Plaats];"Dakdekker;Lokale campagnes;Uitbreiding 31-10-25";Search;Google search;200.00;Daily;Doesn't have EU political ads;Account-level;Bid equally;All;Manual CPC;;Disabled;0;0;0;;10-6-2026;[];Off;"(Monday[08:00-19:00]);(Tuesday[08:00-19:00]);(Wednesday[08:00-19:00]);(Thursday[08:00-19:00]);(Friday[08:00-19:00]);(Saturday[09:00-13:00])";Rotate indefinitely;[];Location of presence;Location of presence;Audience segments;[];Disabled;Disabled;Disabled;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;;;;;
801-957-6699;Voorbeeldaccount Stan;;BE Dak Eigen Merk Lokaal [Plaats];;;;;;;;;All;;;;;;;;;;;;Optimize;;;;Audience segments;"Audience segments;Genders;Ages;Parental status;Household incomes";;;;Dakwerken;Dakwerken;3.52;0.20;;;0.01;;0.01;;;None;Disabled;Disabled;Enabled;Standard;[];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;;;;
801-957-6699;Voorbeeldaccount Stan;;BE Dak Eigen Merk Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dakwerken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Exact;dakdekker;dakdekker;Exact;5.91;;;; -; -; -;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;BE Dak Eigen Merk Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dakwerken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Exact;dakwerken;dakwerken;Exact;6.54;;;; -; -; -;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;BE Dak Eigen Merk Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dakwerken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Exact;dakwerker;dakwerker;Exact;5.75;;;; -; -; -;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;BE Dak Eigen Merk Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dakwerken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Exact;dakdekkersbedrijf;dakdekkersbedrijf;Exact;5.39;;;; -; -; -;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;BE Dak Eigen Merk Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dakwerken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]/?kw=[Plaats]&tel=[Nummer];;Responsive search ad;Dakwerken [Plaats];Dakwerken [Plaats]; -;[Klantnaam] Dakwerken;[Klantnaam] Dakwerken; -;Uw Dakwerker In [Plaats];Uw Dakwerker In [Plaats]; -;Uw Dak Laten Checken?; -;Voor Plat En Hellend Dak; -;Van Herstelling Tot Nieuw Dak; -;Daklekkage Snel Aangepakt; -;Roofing, EPDM En Dakpannen; -;Dakrenovatie Of Herstelling; -;[AantalJaren] Jaar Garantie Op Dakwerk; -;[ReviewHeadline]; -;24 Op 24 Persoonlijke Service; -;Heldere Afspraken, Netjes Werk; -;Offerte Op Maat Van Uw Dak; -;Eén Bedrijf Voor Al Uw Dakwerk; -;[Klantnaam] voert dakwerken uit van herstelling en lekkage tot renovatie.;[Klantnaam] voert dakwerken uit van herstelling en lekkage tot renovatie.; -;Voor roofing, EPDM, dakpannen en platte of hellende daken in [Plaats].;Voor roofing, EPDM, dakpannen en platte of hellende daken in [Plaats].; -;[AantalJaren] Jaar Garantie, [ReviewDescription] en 24 op 24 bereikbaar bij dringende dakproblemen.; -;Vraag een heldere offerte aan voor dakwerken zonder onverwachte kosten.; -;dakwerken;[Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;Average;
801-957-6699;Voorbeeldaccount Stan;;BE Dak Eigen Merk Lokaal [Plaats];;;;;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Dakwerken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Roofing En EPDM;Roofing En EPDM;Herstelling en vernieuwing;Herstelling en vernieuwing;Voor een waterdicht plat dak;Voor een waterdicht plat dak;[];Advertiser;Advertiser;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;BE Dak Eigen Merk Lokaal [Plaats];;;;;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Dakwerken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vraag Uw Offerte;Vraag Uw Offerte;Eerst een eerlijke beoordeling;Eerst een eerlijke beoordeling;Daarna een duidelijke prijs;Daarna een duidelijke prijs;[];Advertiser;Advertiser;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;BE Dak Eigen Merk Lokaal [Plaats];;;;;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Dakwerken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dakwerken [Plaats];Dakwerken [Plaats];Voor plat en hellend dak;Voor plat en hellend dak;Van herstel tot vernieuwing;Van herstel tot vernieuwing;[];Advertiser;Advertiser;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
