Account;Account name;Campaign#Original;Campaign;Labels;Campaign Type;Networks;Budget;Budget type;EU political ads;Standard conversion goals;Customer acquisition;Languages;Bid Strategy Type;Bid Strategy Name;Enhanced CPC;Start Date;End Date;Broad match keywords;Ad Schedule;Ad rotation;Content exclusions;Targeting method;Exclusion method;Audience targeting;Flexible Reach;AI Max;Text customization;Final URL expansion;Ad Group#Original;Ad Group;Max CPC;Max CPM;Target CPA;Max CPV;Target CPV;Percent CPC;Target CPM;Target ROAS;Target CPC;Desktop Bid Modifier;Mobile Bid Modifier;Tablet Bid Modifier;TV Screen Bid Modifier;Display Network Custom Bid Type;Optimized targeting;Strict age and gender targeting;Search term matching;Ad Group Type;Channels;Audience name;Age demographic;Gender demographic;Income demographic;Parental status demographic;Remarketing audience segments;Interest categories;Life events;Custom audience segments;Detailed demographics;Remarketing audience exclusions;Tracking template;Final URL suffix;Custom parameters;ID#Original;ID;Location#Original;Location;Location type;Reach;Location groups#Original;Location groups;Radius#Original;Radius;Unit#Original;Unit;Bid Modifier;Keyword#Original;Keyword;Criterion Type#Original;Criterion Type;First page bid;Top of page bid;First position bid;Quality score;Landing page experience;Expected CTR;Ad relevance;Final URL;Final mobile URL;Ad type;Headline 1#Original;Headline 1;Headline 1 position;Headline 2#Original;Headline 2;Headline 2 position;Headline 3#Original;Headline 3;Headline 3 position;Headline 4;Headline 4 position;Headline 5;Headline 5 position;Headline 6;Headline 6 position;Headline 7;Headline 7 position;Headline 8;Headline 8 position;Headline 9;Headline 9 position;Headline 10;Headline 10 position;Headline 11;Headline 11 position;Headline 12;Headline 12 position;Headline 13;Headline 13 position;Headline 14;Headline 14 position;Headline 15;Headline 15 position;Description 1#Original;Description 1;Description 1 position;Description 2#Original;Description 2;Description 2 position;Description 3;Description 3 position;Description 4;Description 4 position;Path 1;Path 2;Shared set name#Original;Shared set name;Shared set type;Keyword count;Link Text#Original;Link Text;Description Line 1#Original;Description Line 1;Description Line 2#Original;Description Line 2;Upgraded extension;Source;Link source;Final URL#Original;Header#Original;Header;Snippet Values#Original;Snippet Values;Callout text#Original;Callout text;Phone Number#Original;Phone Number;Country of Phone#Original;Country of Phone;Conversion Action;Campaign Status;Ad Group Status;Status;Approval Status;Ad strength;Comment
801-957-6699;Voorbeeldaccount Stan;Schoorsteenveger [Klantnaam] BE | Search | Lokaal [Plaats];Schoorsteenveger [Klantnaam] BE | Search | Lokaal [Plaats];;Search;Google search;200.00;Daily;Doesn't have EU political ads;Account-level;Bid equally;All;Manual CPC;;Disabled;6-8-2026;[];Off;[];Rotate indefinitely;[];Location of presence;Location of presence;Audience segments;Audience segments;Disabled;Disabled;Disabled;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;;;;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | Lokaal [Plaats];;;;;;;;;All;;;;;;;;;;;;Audience segments;"Audience segments;Genders;Ages;Parental status;Household incomes";;;;Schoorsteenveger;Schoorsteenveger;1.57;0.01;;;0.01;;0.01;;;;;;;None;Disabled;Disabled;Disabled;Standard;[];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;;;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;schoorsteen vegen;schoorsteen vegen;Phrase;Phrase;1.00;;;; -; -; -;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;schouw reinigen;schouw reinigen;Exact;Exact;3.33;;;; -; -; -;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;schoorsteen laten vegen;schoorsteen laten vegen;Exact;Exact;6.38;;;; -; -; -;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;schoorsteenveger;schoorsteenveger;Phrase;Phrase;1.72;;;; -; -; -;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;schoorsteen vegen;schoorsteen vegen;Exact;Exact;1.00;;;; -; -; -;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;schouwveger;schouwveger;Exact;Exact;0.78;;;; -; -; -;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;schoorsteenveger in de buurt;schoorsteenveger in de buurt;Exact;Exact;3.24;;;; -; -; -;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Schoorsteenveger [Klantnaam] BE | Search | Lokaal [Plaats];;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;schoorsteenreiniging;schoorsteenreiniging;Exact;Exact;2.20;;;; -; -; -;[url]/?kw=[Plaats]&tel=[Nummer];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
