Account;Account name;Campaign#Original;Campaign;Labels;Campaign Type;Networks;Budget;Budget type;EU political ads;Standard conversion goals;Customer acquisition;Languages;Bid Strategy Type;Bid Strategy Name;Enhanced CPC;Start Date;End Date;Broad match keywords;Ad Schedule;Ad rotation;Content exclusions;Targeting method;Exclusion method;Audience targeting;Flexible Reach;AI Max;Text customization;Final URL expansion;Ad Group#Original;Ad Group;Max CPC;Max CPM;Target CPA;Max CPV;Target CPV;Percent CPC;Target CPM;Target ROAS;Target CPC;Desktop Bid Modifier;Mobile Bid Modifier;Tablet Bid Modifier;TV Screen Bid Modifier;Display Network Custom Bid Type;Optimized targeting;Strict age and gender targeting;Search term matching;Ad Group Type;Channels;Audience name;Age demographic;Gender demographic;Income demographic;Parental status demographic;Remarketing audience segments;Interest categories;Life events;Custom audience segments;Detailed demographics;Remarketing audience exclusions;Tracking template;Final URL suffix;Custom parameters;ID#Original;ID;Location#Original;Location;Location type;Reach;Location groups#Original;Location groups;Radius#Original;Radius;Unit#Original;Unit;Bid Modifier;Keyword#Original;Keyword;Criterion Type#Original;Criterion Type;First page bid;Top of page bid;First position bid;Quality score;Landing page experience;Expected CTR;Ad relevance;Final URL;Final mobile URL;Ad type;Headline 1#Original;Headline 1;Headline 1 position;Headline 2#Original;Headline 2;Headline 2 position;Headline 3#Original;Headline 3;Headline 3 position;Headline 4;Headline 4 position;Headline 5;Headline 5 position;Headline 6;Headline 6 position;Headline 7;Headline 7 position;Headline 8;Headline 8 position;Headline 9;Headline 9 position;Headline 10;Headline 10 position;Headline 11;Headline 11 position;Headline 12;Headline 12 position;Headline 13;Headline 13 position;Headline 14;Headline 14 position;Headline 15;Headline 15 position;Description 1#Original;Description 1;Description 1 position;Description 2#Original;Description 2;Description 2 position;Description 3;Description 3 position;Description 4;Description 4 position;Path 1;Path 2;Shared set name#Original;Shared set name;Shared set type;Keyword count;Link Text#Original;Link Text;Description Line 1#Original;Description Line 1;Description Line 2#Original;Description Line 2;Upgraded extension;Source;Link source;Final URL#Original;Header#Original;Header;Snippet Values#Original;Snippet Values;Callout text#Original;Callout text;Phone Number#Original;Phone Number;Country of Phone#Original;Country of Phone;Conversion Action;Campaign Status;Ad Group Status;Status;Approval Status;Ad strength;Comment
801-957-6699;Voorbeeldaccount Stan;Van Beynen NL | Search | Schoorsteenveger + STAD;Van Beynen NL | Search | Schoorsteenveger + STAD;;Search;Google search;200.00;Daily;Doesn't have EU political ads;Account-level;Bid equally;All;Manual CPC;;Disabled;20-7-2026;[];Off;[];Rotate indefinitely;[];Location of presence;Location of presence;Audience segments;Audience segments;Disabled;Disabled;Disabled;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;;;;;
801-957-6699;Voorbeeldaccount Stan;;Van Beynen NL | Search | Schoorsteenveger + STAD;;;;;;;;;All;;;;;;;;;;;;Audience segments;"Audience segments;Genders;Ages;Parental status;Household incomes";;;;Schoorsteenveger Nijmegen;Schoorsteenveger Nijmegen;1.57;0.01;;;0.01;;0.01;;;;;;;None;Disabled;Disabled;Disabled;Standard;[];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;;;;
801-957-6699;Voorbeeldaccount Stan;;Van Beynen NL | Search | Schoorsteenveger + STAD;;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger Nijmegen;1.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;schoorsteenveger nijmegen;schoorsteenveger nijmegen;Exact;Exact;1.46;;;; -; -; -;https://vanbeynenschoorsteenvegers.nl/?kw=Nijmegen&tel=024-1234567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Van Beynen NL | Search | Schoorsteenveger + STAD;;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger Nijmegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;schoorsteen vegen nijmegen;schoorsteen vegen nijmegen;Phrase;Phrase;0.35;;;; -; -; -;https://vanbeynenschoorsteenvegers.nl/?kw=Nijmegen&tel=024-1234567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Van Beynen NL | Search | Schoorsteenveger + STAD;;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger Nijmegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;schoorsteenveegbedrijf nijmegen;schoorsteenveegbedrijf nijmegen;Phrase;Phrase;0.84;;;; -; -; -;https://vanbeynenschoorsteenvegers.nl/?kw=Nijmegen&tel=024-1234567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Van Beynen NL | Search | Schoorsteenveger + STAD;;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger Nijmegen;1.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;schoorsteen vegen nijmegen;schoorsteen vegen nijmegen;Exact;Exact;0.35;;;; -; -; -;https://vanbeynenschoorsteenvegers.nl/?kw=Nijmegen&tel=024-1234567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Van Beynen NL | Search | Schoorsteenveger + STAD;;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger Nijmegen;1.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;schoorsteenveegbedrijf nijmegen;schoorsteenveegbedrijf nijmegen;Exact;Exact;0.84;;;; -; -; -;https://vanbeynenschoorsteenvegers.nl/?kw=Nijmegen&tel=024-1234567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Van Beynen NL | Search | Schoorsteenveger + STAD;;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger Nijmegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;schoorsteenveger nijmegen;schoorsteenveger nijmegen;Phrase;Phrase;1.46;;;; -; -; -;https://vanbeynenschoorsteenvegers.nl/?kw=Nijmegen&tel=024-1234567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;Van Beynen NL | Search | Schoorsteenveger + STAD;Netnummer 024;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger Nijmegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://vanbeynenschoorsteenvegers.nl/?kw=Nijmegen&tel=024-1234567;;Responsive search ad;Schoorsteenveger Nijmegen;Schoorsteenveger Nijmegen; -;Van Beynen In Nijmegen;Van Beynen In Nijmegen; -;Transparante Scherpe Tarieven;Transparante Scherpe Tarieven; -;Vaste Veegprijs Van €59,50; -;Schoorsteen Laten Vegen?; -;Schoorsteen Vegen Nijmegen; -;Veegbewijs Direct Na Veegbeurt; -;Onderhoudsabonnement Mogelijk; -;30+ Jaar Ervaring; -;Wij Laten Alles Netjes Achter; -;Plan Uw Veegbeurt Tijdig; -;Veilig Stoken Begint Hier; -;Schoorsteenveegbedrijf Beynen; -;Zekerheid Met Achteraf Betalen; -;Bel Van Beynen Direct; -;Van Beynen veegt uw schoorsteen in Nijmegen. Vaste prijs vooraf, zonder voorrijkosten.;Van Beynen veegt uw schoorsteen in Nijmegen. Vaste prijs vooraf, zonder voorrijkosten.; -;Eerste kanaal €59,50, ieder extra kanaal €49,50. Inclusief btw en veegbon na afloop.;Eerste kanaal €59,50, ieder extra kanaal €49,50. Inclusief btw en veegbon na afloop.; -;Wij vegen netjes vanuit de woning of vanaf het dak. Wij laten geen rommel achter.; -;Plan uw veegbeurt online of bel direct. Al meer dan 30 jaar vertrouwd vakwerk.; -;Nijmegen;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;Excellent;
801-957-6699;Voorbeeldaccount Stan;;Van Beynen NL | Search | Schoorsteenveger + STAD;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Schoorsteenveger Nijmegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://vanbeynenschoorsteenvegers.nl/?kw=Nijmegen&tel=024-1234567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Over Van Beynen;Over Van Beynen;Al Meer Dan 30 Jaar Ervaring;Al Meer Dan 30 Jaar Ervaring;Eerlijk Advies En Netjes Werk;Eerlijk Advies En Netjes Werk;[];Advertiser;Advertiser;https://vanbeynenschoorsteenvegers.nl/?kw=Nijmegen&tel=024-1234567;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
