Account;Account name;Campaign#Original;Campaign;Labels;Campaign Type;Networks;Budget;Budget type;EU political ads;Standard conversion goals;Customer acquisition;Languages;Bid Strategy Type;Bid Strategy Name;Enhanced CPC;Start Date;End Date;Broad match keywords;Ad Schedule;Ad rotation;Content exclusions;Targeting method;Exclusion method;Audience targeting;Flexible Reach;AI Max;Text customization;Final URL expansion;Ad Group#Original;Ad Group;Max CPC;Max CPM;Target CPA;Max CPV;Target CPV;Percent CPC;Target CPM;Target ROAS;Target CPC;Desktop Bid Modifier;Mobile Bid Modifier;Tablet Bid Modifier;TV Screen Bid Modifier;Display Network Custom Bid Type;Optimized targeting;Strict age and gender targeting;Search term matching;Ad Group Type;Channels;Audience name;Age demographic;Gender demographic;Income demographic;Parental status demographic;Remarketing audience segments;Interest categories;Life events;Custom audience segments;Detailed demographics;Remarketing audience exclusions;Tracking template;Final URL suffix;Custom parameters;ID#Original;ID;Location#Original;Location;Location type;Reach;Location groups#Original;Location groups;Radius#Original;Radius;Unit#Original;Unit;Bid Modifier;Keyword#Original;Keyword;Criterion Type#Original;Criterion Type;First page bid;Top of page bid;First position bid;Quality score;Landing page experience;Expected CTR;Ad relevance;Final URL;Final mobile URL;Ad type;Headline 1#Original;Headline 1;Headline 1 position;Headline 2#Original;Headline 2;Headline 2 position;Headline 3#Original;Headline 3;Headline 3 position;Headline 4;Headline 4 position;Headline 5;Headline 5 position;Headline 6;Headline 6 position;Headline 7;Headline 7 position;Headline 8;Headline 8 position;Headline 9;Headline 9 position;Headline 10;Headline 10 position;Headline 11;Headline 11 position;Headline 12;Headline 12 position;Headline 13;Headline 13 position;Headline 14;Headline 14 position;Headline 15;Headline 15 position;Description 1#Original;Description 1;Description 1 position;Description 2#Original;Description 2;Description 2 position;Description 3;Description 3 position;Description 4;Description 4 position;Path 1;Path 2;Shared set name#Original;Shared set name;Shared set type;Keyword count;Link Text#Original;Link Text;Description Line 1#Original;Description Line 1;Description Line 2#Original;Description Line 2;Upgraded extension;Source;Link source;Final URL#Original;Header#Original;Header;Snippet Values#Original;Snippet Values;Callout text#Original;Callout text;Phone Number#Original;Phone Number;Country of Phone#Original;Country of Phone;Conversion Action;Type#Original;Type;Price qualifier;Language#Original;Language;Currency#Original;Currency;Header 1#Original;Header 1;Price 1;Unit 1;Final URL 1#Original;Final URL 1;Final mobile URL 1;Header 2#Original;Header 2;Price 2;Unit 2;Final URL 2#Original;Final URL 2;Final mobile URL 2;Header 3#Original;Header 3;Description 3#Original;Price 3;Unit 3;Final URL 3#Original;Final URL 3;Final mobile URL 3;Header 4#Original;Header 4;Description 4#Original;Price 4;Unit 4;Final URL 4#Original;Final URL 4;Final mobile URL 4;Header 5#Original;Header 5;Description 5#Original;Description 5;Price 5;Unit 5;Final URL 5#Original;Final URL 5;Final mobile URL 5;Header 6#Original;Header 6;Description 6#Original;Description 6;Price 6;Unit 6;Final URL 6#Original;Final URL 6;Final mobile URL 6;Header 7#Original;Header 7;Description 7#Original;Description 7;Price 7;Unit 7;Final URL 7#Original;Final URL 7;Final mobile URL 7;Header 8#Original;Header 8;Description 8#Original;Description 8;Price 8;Unit 8;Final URL 8#Original;Final URL 8;Final mobile URL 8;Campaign Status;Ad Group Status;Status;Approval Status;Ad strength;Comment
801-957-6699;Voorbeeldaccount Stan;DSB NL AON | Search | Schoorsteenveger + STAD;DSB NL AON | Search | Schoorsteenveger + STAD;;Search;Google search;200.00;Daily;Doesn't have EU political ads;Account-level;Bid equally;All;Manual CPC;;Disabled;15-7-2026;[];Off;[];Rotate indefinitely;[];Location of presence;Location of presence;Audience segments;Audience segments;Disabled;Disabled;Disabled;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;;;;;
801-957-6699;Voorbeeldaccount Stan;;DSB NL AON | Search | Schoorsteenveger + STAD;;;;;;;;;All;;;;;;;;;;;;Audience segments;"Audience segments;Genders;Ages;Parental status;Household incomes";;;;Schoorsteenveger Nijmegen;Schoorsteenveger Nijmegen;1.57;0.01;;;0.01;;0.01;;;;;;;None;Disabled;Disabled;Disabled;Standard;[];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;;;;
801-957-6699;Voorbeeldaccount Stan;;DSB NL AON | Search | Schoorsteenveger + STAD;;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger Nijmegen;1.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;schoorsteenveegbedrijf nijmegen;schoorsteenveegbedrijf nijmegen;Exact;Exact;;;;; -; -; -;https://deschoorsteenbrigade.nl/aon/?kw=Nijmegen&tel=024-7820524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB NL AON | Search | Schoorsteenveger + STAD;;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger Nijmegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;schoorsteen vegen nijmegen;schoorsteen vegen nijmegen;Phrase;Phrase;;;;; -; -; -;https://deschoorsteenbrigade.nl/aon/?kw=Nijmegen&tel=024-7820524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB NL AON | Search | Schoorsteenveger + STAD;;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger Nijmegen;1.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;schoorsteenveger nijmegen;schoorsteenveger nijmegen;Exact;Exact;;;;; -; -; -;https://deschoorsteenbrigade.nl/aon/?kw=Nijmegen&tel=024-7820524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB NL AON | Search | Schoorsteenveger + STAD;;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger Nijmegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;schoorsteenveegbedrijf nijmegen;schoorsteenveegbedrijf nijmegen;Phrase;Phrase;;;;; -; -; -;https://deschoorsteenbrigade.nl/aon/?kw=Nijmegen&tel=024-7820524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB NL AON | Search | Schoorsteenveger + STAD;;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger Nijmegen;1.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;schoorsteen vegen nijmegen;schoorsteen vegen nijmegen;Exact;Exact;;;;; -; -; -;https://deschoorsteenbrigade.nl/aon/?kw=Nijmegen&tel=024-7820524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB NL AON | Search | Schoorsteenveger + STAD;;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger Nijmegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;schoorsteenveger nijmegen;schoorsteenveger nijmegen;Phrase;Phrase;;;;; -; -; -;https://deschoorsteenbrigade.nl/aon/?kw=Nijmegen&tel=024-7820524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
801-957-6699;Voorbeeldaccount Stan;;DSB NL AON | Search | Schoorsteenveger + STAD;Netnummer 024;;;;;;;;;;;;;;;;;;;;;;;;;;Schoorsteenveger Nijmegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://deschoorsteenbrigade.nl/aon/?kw=Nijmegen&tel=024-7820524;;Responsive search ad;Schoorsteenveger Nijmegen;Schoorsteenveger Nijmegen; -;Schoorsteenveegbedrijf Nodig?;Schoorsteenveegbedrijf Nodig?; -;Uw Schoorsteen Laten Vegen?;Uw Schoorsteen Laten Vegen?; -;De Schoorsteenbrigade Nijmegen; -;€59,50 All-In Voor Eén Kanaal; -;Vaste Prijs Incl. Btw; -;Plan Uw Jaarlijkse Veegbeurt; -;8,2/10 uit 500 Recensies; -;Incl. Veegbewijs Verzekering; -;Voorkom Een Schoorsteenbrand; -;Van Inspectie Tot Vogelnesten; -;Erkend & Gecertificeerd; -;Bel De Schoorsteenbrigade; -;Eerst Vegen Achteraf Betalen; -;Wij Werken Netjes En Grondig; -;Schoorsteenveegbedrijf Nodig in Nijmegen? De Schoorsteenbrigade Helpt Snel Met Vaste Prijs;Schoorsteenveegbedrijf Nodig in Nijmegen? De Schoorsteenbrigade Helpt Snel Met Vaste Prijs; -;Vanaf €59,50 All-in Voor Eén Kanaal, Inclusief Btw, Voorrijkosten En Veegbewijs.;Vanaf €59,50 All-in Voor Eén Kanaal, Inclusief Btw, Voorrijkosten En Veegbewijs.; -;Wij Reinigen Schoorstenen En Rookkanalen Voor Alle Typen Kachels. Ook Inspectie Mogelijk.; -;Voorkom Rook, Stank en Vervuiling. Bel Direct Voor Een Veegbeurt In Nijmegen.; -;Nijmegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;Excellent;
801-957-6699;Voorbeeldaccount Stan;;DSB NL AON | Search | Schoorsteenveger + STAD;;;;;;;;;;;;;[];[];;[];;;;;;;;;;;Schoorsteenveger Nijmegen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://deschoorsteenbrigade.nl/aon/?kw=Nijmegen&tel=024-7820524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jaarlijks Onderhoud;Jaarlijks Onderhoud;Tijd Voor Het Jaarlijkse Onderhoud?;Tijd Voor Het Jaarlijkse Onderhoud?;De Schoorsteenbrigade Helpt Graag;De Schoorsteenbrigade Helpt Graag;[];Advertiser;Advertiser;https://deschoorsteenbrigade.nl/aon/?kw=Nijmegen&tel=024-7820524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Paused;Enabled;Enabled;Approved;;
